ticker,splitDate,divisor
AA,2016-10-06,0.333
AA,2016-11-01,1.34
AAPL,2014-06-09,7.0
AAPL,2020-08-31,4.0
AI,2009-10-07,0.05
AMC,2023-08-24,0.1
AMZN,2022-06-06,20.0
ANET,2021-11-18,4.0
ANET,2024-12-04,4.0
ASST,2026-02-06,0.05
AVGO,2024-07-15,10.0
BIDU,2010-05-12,10.0
BOIL,2012-05-11,0.2
BOIL,2015-05-20,0.25
BOIL,2018-03-20,0.2
BOIL,2020-04-21,0.1
BOIL,2023-06-23,0.05
BOIL,2024-11-07,0.2
C,2011-05-09,0.1
CLF,2008-05-16,2.0
CMCSA,2007-02-22,1.5
CMCSA,2017-02-20,1.0
CMCSA,2017-02-21,2.0
CMG,2024-06-26,50.0
COP,2012-05-01,1.316
CRM,2013-04-18,4.0
DELL,2021-11-02,2.0
EEM,2008-07-24,3.0
FCX,2011-02-02,2.0
GE,2021-08-02,0.125
GE,2023-01-04,1.288
GME,2007-03-19,2.0
GME,2022-07-22,4.0
GOOG,2022-07-18,20.0
GOOGL,2014-04-03,2.0
GOOGL,2022-07-18,20.0
HUT,2023-12-04,0.2
KO,2012-08-13,2.0
LCID,2025-09-02,0.1
LRCX,2024-10-03,10.0
LULU,2011-07-12,2.0
MARA,2013-07-22,0.077
MARA,2014-12-23,2.0
MARA,2017-10-30,0.25
MARA,2019-04-08,0.25
MSTR,2024-08-08,10.0
MSTX,2026-03-19,0.1
NEE,2020-10-27,4.0
NFLX,2015-07-15,7.0
NFLX,2025-11-17,10.0
NKE,2007-04-03,2.0
NKE,2012-12-26,2.0
NKE,2015-12-24,2.0
NVDA,2007-09-11,1.5
NVDA,2021-07-20,4.0
NVDA,2024-06-10,10.0
NVDL,2024-03-13,6.0
NVO,2007-12-17,2.0
NVO,2014-01-09,5.0
NVO,2023-09-20,2.0
PANW,2022-09-14,3.0
PANW,2024-12-16,2.0
PBR,2007-07-02,2.0
PBR,2008-05-08,2.0
PLUG,2011-05-20,0.1
SBUX,2015-04-09,2.0
SHOP,2022-06-29,10.0
SLV,2008-07-24,10.0
SMCI,2024-10-01,10.0
SMH,2023-05-05,2.0
SOXL,2015-05-20,4.0
SOXL,2021-03-02,15.0
SOXS,2011-02-24,0.2
SOXS,2013-08-20,0.25
SOXS,2015-05-20,0.25
SOXS,2017-05-01,0.2
SOXS,2019-06-28,0.1
SOXS,2020-08-28,0.083
SOXS,2022-03-28,0.1
SOXS,2024-04-15,0.1
SOXS,2026-03-05,0.05
TMF,2016-08-25,4.0
TMF,2023-12-04,0.1
TNA,2013-04-02,2.0
TNA,2017-05-01,2.0
TQQQ,2011-02-25,2.0
TQQQ,2012-05-11,2.0
TQQQ,2014-01-24,2.0
TQQQ,2017-01-12,2.0
TQQQ,2018-05-24,3.0
TQQQ,2021-01-21,2.0
TQQQ,2022-01-13,2.0
TQQQ,2025-11-20,2.0
TSLA,2020-08-31,5.0
TSLA,2022-08-25,3.0
TTD,2021-06-17,10.0
USO,2020-04-29,0.125
UUUU,2013-11-05,0.02
UVIX,2023-01-25,0.2
UVIX,2023-10-11,0.1
UVIX,2025-01-15,0.1
V,2015-03-19,4.0
VALE,2007-09-13,2.0
VST,2018-04-09,0.615
WDC,2025-02-24,1.333
WMT,2024-02-26,3.0
XBI,2015-09-11,3.0
XLE,2025-12-05,2.0
XLF,2016-09-19,1.23
XLK,2025-12-05,2.0
XLU,2025-12-05,2.0
